,address_id,address_name,seo_uri
0,47235687,"жилой комплекс Сиберово, 1",
1,47235687,"жилой комплекс Сиберово, 1",
2,205822,"Чистопольская улица, 12",
3,205822,"Чистопольская улица, 12",
4,41707600,"улица Аметьевская Магистраль, 18к5",
5,41707600,"улица Аметьевская Магистраль, 18к5",
6,87927,"улица Сибгата Хакима, 46",
7,87927,"улица Сибгата Хакима, 46",
8,33802942,"улица Рауиса Гареева, 78",
9,33802942,"улица Рауиса Гареева, 78",
10,39741862,"Шоссейная улица, 57",
11,39741862,"Шоссейная улица, 57",
12,33751130,"улица Наиля Юсупова, 8",
13,33751130,"улица Наиля Юсупова, 8",
14,47235687,"жилой комплекс Сиберово, 1",
15,47235687,"жилой комплекс Сиберово, 1",
16,33802942,"улица Рауиса Гареева, 78",
17,33802942,"улица Рауиса Гареева, 78",
18,205654,"улица Кул Гали, 38",
19,205654,"улица Кул Гали, 38",
20,41537555,"улица Сибгата Хакима, 51",
21,41537555,"улица Сибгата Хакима, 51",
22,48441784,жилой комплекс Нова,
23,48441784,жилой комплекс Нова,
24,218977,улица Алексея Козина,
25,218977,улица Алексея Козина,
26,406975,"Привокзальная улица, 52",
27,406975,"Привокзальная улица, 52",
28,42244432,"улица Братьев Батталовых, 20Ак2",
29,42244432,"улица Братьев Батталовых, 20Ак2",
30,546817,"улица Профессора Камая, 10к1",
31,546817,"улица Профессора Камая, 10к1",
32,16544219,Бухарская улица,
33,16544219,Бухарская улица,
34,205902,"улица Липатова, 17А",
35,205902,"улица Липатова, 17А",
36,417408,"улица Кул Гали, 3",
37,417408,"улица Кул Гали, 3",
38,27202658,"проспект Альберта Камалеева, 30",
39,27202658,"проспект Альберта Камалеева, 30",
40,41707600,"улица Аметьевская Магистраль, 18к5",
41,41707600,"улица Аметьевская Магистраль, 18к5",
42,16544219,Бухарская улица,
43,16544219,Бухарская улица,
44,200645,"проспект Победы, 30к4",
45,200645,"проспект Победы, 30к4",
46,205729,улица Меховщиков,
47,205729,улица Меховщиков,
48,362607,"проспект Победы, 139к2",
49,362607,"проспект Победы, 139к2",
50,84272,"улица Сибгата Хакима, 44",
51,84272,"улица Сибгата Хакима, 44",
52,48441784,жилой комплекс Нова,
53,48441784,жилой комплекс Нова,
54,218977,улица Алексея Козина,
55,218977,улица Алексея Козина,
56,16544219,Бухарская улица,
57,16544219,Бухарская улица,
58,56424754,"улица Рихарда Зорге, 99",
59,56424754,"улица Рихарда Зорге, 99",
60,51349455,улица Асада Аббасова,
61,51349455,улица Асада Аббасова,
62,23816308,"улица Рауиса Гареева, 111к1",
63,23816308,"улица Рауиса Гареева, 111к1",
64,25771,"Чистопольская улица, 86/10",
65,25771,"Чистопольская улица, 86/10",
66,415136,"улица Комиссара Габишева, 29",
67,415136,"улица Комиссара Габишева, 29",
68,33802942,"улица Рауиса Гареева, 78",
69,33802942,"улица Рауиса Гареева, 78",
70,41537555,"улица Сибгата Хакима, 51",
71,41537555,"улица Сибгата Хакима, 51",
72,38402874,"жилой комплекс Светлая Долина, 2-2",
73,38402874,"жилой комплекс Светлая Долина, 2-2",
74,42777809,"улица Петра Полушкина, 10/1",
75,42777809,"улица Петра Полушкина, 10/1",
76,218977,улица Алексея Козина,
77,218977,улица Алексея Козина,
78,84260,"улица Салиха Батыева, 13",
79,84260,"улица Салиха Батыева, 13",
80,379729,"улица Ноксинский Спуск, 43",
81,379729,"улица Ноксинский Спуск, 43",
82,205965,"Зилантовская улица, 20",
83,205965,"Зилантовская улица, 20",
84,47235687,"жилой комплекс Сиберово, 1",
85,47235687,"жилой комплекс Сиберово, 1",
86,51349455,улица Асада Аббасова,
87,51349455,улица Асада Аббасова,
88,41649105,"улица Михаила Миля, 1",
89,41649105,"улица Михаила Миля, 1",
90,23816308,"улица Рауиса Гареева, 111к1",
91,23816308,"улица Рауиса Гареева, 111к1",
92,38616989,"улица Серова, 43к2",
93,38616989,"улица Серова, 43к2",
94,36238,"проспект Победы, 78",
95,36238,"проспект Победы, 78",
96,47899991,"улица Азата Аббасова, 23",
97,47899991,"улица Азата Аббасова, 23",
98,41649105,"улица Михаила Миля, 1",
99,41649105,"улица Михаила Миля, 1",
100,14966605,"улица Маршала Чуйкова, 43",
101,14966605,"улица Маршала Чуйкова, 43",
102,33802942,"улица Рауиса Гареева, 78",
103,33802942,"улица Рауиса Гареева, 78",
104,165080,"улица Гаврилова, 28",
105,165080,"улица Гаврилова, 28",
106,336217,"улица Сафиуллина, 50",
107,336217,"улица Сафиуллина, 50",
108,86388,"улица Айрата Арсланова, 11",
109,86388,"улица Айрата Арсланова, 11",
110,55814278,"жилой комплекс Притяжение, 2",
111,55814278,"жилой комплекс Притяжение, 2",
112,205997,"проспект Универсиады, 16",
113,205997,"проспект Универсиады, 16",
114,33521883,"Стадионная улица, 1",
115,33521883,"Стадионная улица, 1",
116,218977,улица Алексея Козина,
117,218977,улица Алексея Козина,
118,39168447,"улица Абдуллы Бичурина, 13",
119,39168447,"улица Абдуллы Бичурина, 13",
120,39168447,"улица Абдуллы Бичурина, 13",
121,39168447,"улица Абдуллы Бичурина, 13",
122,41707600,"улица Аметьевская Магистраль, 18к5",
123,41707600,"улица Аметьевская Магистраль, 18к5",
124,55814278,"жилой комплекс Притяжение, 2",
125,55814278,"жилой комплекс Притяжение, 2",
126,205788,"Авангардная улица, 171",
127,205788,"Авангардная улица, 171",
128,218977,улица Алексея Козина,
129,218977,улица Алексея Козина,
130,16544219,Бухарская улица,
131,16544219,Бухарская улица,
132,420795,"улица Зур Урам, 1",
133,420795,"улица Зур Урам, 1",
134,35561130,"улица Алексея Козина, 2",
135,35561130,"улица Алексея Козина, 2",
136,49934048,"Бухарская улица, 32к1",
137,49934048,"Бухарская улица, 32к1",
138,35561130,"улица Алексея Козина, 2",
139,35561130,"улица Алексея Козина, 2",
140,1704427,"проспект Победы, 35Б",
141,1704427,"проспект Победы, 35Б",
142,762812,"улица Гаврилова, 6",
143,762812,"улица Гаврилова, 6",
144,419349,"улица Фатыха Амирхана, 18/41",
145,419349,"улица Фатыха Амирхана, 18/41",
146,425585,"улица Фатыха Амирхана, 34",
147,425585,"улица Фатыха Амирхана, 34",
148,56446007,"улица Гавриила Державина, 3к4",
149,56446007,"улица Гавриила Державина, 3к4",
150,16736952,"улица Родины, 20",
151,16736952,"улица Родины, 20",
152,86465,"улица Фатыха Амирхана, 101",
153,86465,"улица Фатыха Амирхана, 101",
154,3424577,"улица Рашида Вагапова, 27",
155,3424577,"улица Рашида Вагапова, 27",
156,406887,"улица Фатыха Амирхана, 38",
157,406887,"улица Фатыха Амирхана, 38",
158,36440499,"улица Сабан, 5В",
159,36440499,"улица Сабан, 5В",
160,50039946,"улица Мансура Хасанова, 15",
161,50039946,"улица Мансура Хасанова, 15",
162,16766586,"Оренбургский тракт, 4Б",
163,16766586,"Оренбургский тракт, 4Б",
164,33756646,"Горьковское шоссе, 2А",
165,33756646,"Горьковское шоссе, 2А",
166,434346,"Ломжинская улица, 4",
167,434346,"Ломжинская улица, 4",
168,205747,"Курская улица, 27",
169,205747,"Курская улица, 27",
170,39907359,"улица Четаева, 14Ак2",
171,39907359,"улица Четаева, 14Ак2",
172,205588,"Оренбургский тракт, 140Г",
173,205588,"Оренбургский тракт, 140Г",
174,38544921,"Бухарская улица, 32",
175,38544921,"Бухарская улица, 32",
176,56592736,"Детский проезд, 6",
177,56592736,"Детский проезд, 6",
178,40428086,"улица Вишневского, 61А",
179,40428086,"улица Вишневского, 61А",
180,7357369,"улица Карбышева, 12",
181,7357369,"улица Карбышева, 12",
182,33081465,"Чистопольская улица, 61Д",
183,33081465,"Чистопольская улица, 61Д",
184,205569,"Оренбургский тракт, 24Б",
185,205569,"Оренбургский тракт, 24Б",
186,38259435,"улица Вишневского, 59Ак1",
187,38259435,"улица Вишневского, 59Ак1",
188,56429960,"улица Алексея Козина, 9",
189,56429960,"улица Алексея Козина, 9",
190,42240094,"улица Братьев Батталовых, 20А",
191,42240094,"улица Братьев Батталовых, 20А",
192,47170539,"улица Мансура Хасанова, 13",
193,47170539,"улица Мансура Хасанова, 13",
194,205890,"улица Рихарда Зорге, 41",
195,205890,"улица Рихарда Зорге, 41",
196,56446007,"улица Гавриила Державина, 3к4",
197,56446007,"улица Гавриила Державина, 3к4",
198,206205,"Чистопольская улица, 60",
199,206205,"Чистопольская улица, 60",
200,590858,"улица Виктора Сажинова, 3",
201,590858,"улица Виктора Сажинова, 3",
202,43040609,"Портовая улица, 37к1",
203,43040609,"Портовая улица, 37к1",
204,87921,"улица Андрея Адо, 13Б",
205,87921,"улица Андрея Адо, 13Б",
206,42266187,"улица Рауиса Гареева, 105Б",
207,42266187,"улица Рауиса Гареева, 105Б",
208,1546723,"улица Рашида Вагапова, 8/15",
209,1546723,"улица Рашида Вагапова, 8/15",
210,165081,"проспект Победы, 17",
211,165081,"проспект Победы, 17",
212,200685,"Бирюзовая улица, 9",
213,200685,"Бирюзовая улица, 9",
214,56592221,"улица Зур Урам, 1Кк3",
215,56592221,"улица Зур Урам, 1Кк3",
216,362607,"проспект Победы, 139к2",
217,362607,"проспект Победы, 139к2",
218,411029,"улица Азата Аббасова, 13",
219,411029,"улица Азата Аббасова, 13",
220,2022,"улица Чингиза Айтматова, 13",
221,2022,"улица Чингиза Айтматова, 13",
222,41707600,"улица Аметьевская Магистраль, 18к5",
223,41707600,"улица Аметьевская Магистраль, 18к5",
224,56465929,"улица Салиха Батыева, 1",
225,56465929,"улица Салиха Батыева, 1",
226,200825,"проспект Альберта Камалеева, 34Б",
227,200825,"проспект Альберта Камалеева, 34Б",
228,87905,"улица Достоевского, 57",
229,87905,"улица Достоевского, 57",
230,257971,"улица Курашова, 20",
231,257971,"улица Курашова, 20",
232,87905,"улица Достоевского, 57",
233,87905,"улица Достоевского, 57",
234,56424759,"улица Рихарда Зорге, 97",
235,56424759,"улица Рихарда Зорге, 97",
236,87905,"улица Достоевского, 57",
237,87905,"улица Достоевского, 57",
238,47885179,"улица Академика Губкина, 12Б",
239,47885179,"улица Академика Губкина, 12Б",
240,87921,"улица Андрея Адо, 13Б",
241,87921,"улица Андрея Адо, 13Б",
242,148186,"улица Сибгата Хакима, 5А",
243,148186,"улица Сибгата Хакима, 5А",
244,50966265,"Бухарская улица, 32к2",
245,50966265,"Бухарская улица, 32к2",
246,87894,"улица Серова, 51/11",
247,87894,"улица Серова, 51/11",
248,206264,"улица Натана Рахлина, 5",
249,206264,"улица Натана Рахлина, 5",
250,36331,"Волочаевская улица, 4",
251,36331,"Волочаевская улица, 4",
252,3322024,"улица Академика Глушко, 7",
253,3322024,"улица Академика Глушко, 7",
254,206033,"улица Адоратского, 37",
255,206033,"улица Адоратского, 37",
256,87894,"улица Серова, 51/11",
257,87894,"улица Серова, 51/11",
258,3426971,"улица Зинина, 7",
259,3426971,"улица Зинина, 7",
260,165200,"Чистопольская улица, 85",
261,165200,"Чистопольская улица, 85",
262,522597,"Спартаковская улица, 165",
263,522597,"Спартаковская улица, 165",
264,36435404,"улица Альфии Авзаловой, 9",
265,36435404,"улица Альфии Авзаловой, 9",
266,17240084,"улица Нурихана Фаттаха, 19",
267,17240084,"улица Нурихана Фаттаха, 19",
268,56429960,"улица Алексея Козина, 9",
269,56429960,"улица Алексея Козина, 9",
270,3474278,"улица Сибгата Хакима, 42",
271,3474278,"улица Сибгата Хакима, 42",
272,56464821,"улица Хади Такташа, 119",
273,56464821,"улица Хади Такташа, 119",
274,257971,"улица Курашова, 20",
275,257971,"улица Курашова, 20",
276,36301,"Щербаковский переулок, 7",
277,36301,"Щербаковский переулок, 7",
278,205747,"Курская улица, 27",
279,205747,"Курская улица, 27",
280,41537555,"улица Сибгата Хакима, 51",
281,41537555,"улица Сибгата Хакима, 51",
282,23816308,"улица Рауиса Гареева, 111к1",
283,23816308,"улица Рауиса Гареева, 111к1",
284,40566354,"улица Альфии Авзаловой, 3",
285,40566354,"улица Альфии Авзаловой, 3",
286,205989,"улица Толстого, 14А",
287,205989,"улица Толстого, 14А",
288,39741862,"Шоссейная улица, 57",
289,39741862,"Шоссейная улица, 57",
290,41044881,"улица Четаева, 43А",
291,41044881,"улица Четаева, 43А",
292,36238,"проспект Победы, 78",
293,36238,"проспект Победы, 78",
294,56550425,"Беломорская улица, 5",
295,56550425,"Беломорская улица, 5",
296,200610,"улица Павлюхина, 110В",
297,200610,"улица Павлюхина, 110В",
298,335914,"Петербургская улица, 64",
299,335914,"Петербургская улица, 64",
300,17037610,"улица Карбышева, 12А",
301,17037610,"улица Карбышева, 12А",
302,46261800,"улица Петра Полушкина, 6",
303,46261800,"улица Петра Полушкина, 6",
304,3551360,"улица Джаудата Файзи, 15",
305,3551360,"улица Джаудата Файзи, 15",
306,49934048,"Бухарская улица, 32к1",
307,49934048,"Бухарская улица, 32к1",
308,56433878,"улица Николая Ершова, 34/1",
309,56433878,"улица Николая Ершова, 34/1",
310,342614,"улица Юлиуса Фучика, 99А",
311,342614,"улица Юлиуса Фучика, 99А",
312,2005,"улица Академика Лаврентьева, 11",
313,2005,"улица Академика Лаврентьева, 11",
314,40651263,"улица Галеева, 8Ак4",
315,40651263,"улица Галеева, 8Ак4",
316,36145938,"проспект Альберта Камалеева, 32Б",
317,36145938,"проспект Альберта Камалеева, 32Б",
318,200737,"улица Адоратского, 33",
319,200737,"улица Адоратского, 33",
320,39741862,"Шоссейная улица, 57",
321,39741862,"Шоссейная улица, 57",
322,522597,"Спартаковская улица, 165",
323,522597,"Спартаковская улица, 165",
324,40295754,"улица Аделя Кутуя, 110Дк3",
325,40295754,"улица Аделя Кутуя, 110Дк3",
326,218843,"улица Седова, 1",
327,218843,"улица Седова, 1",
328,165228,"улица Кул Гали, 27",
329,165228,"улица Кул Гали, 27",
330,56532583,"улица Азата Аббасова, 5",
331,56532583,"улица Азата Аббасова, 5",
332,372550,"улица Алексея Козина, 7",
333,372550,"улица Алексея Козина, 7",
334,41537555,"улица Сибгата Хакима, 51",
335,41537555,"улица Сибгата Хакима, 51",
336,956334,"улица Юлиуса Фучика, 51",
337,956334,"улица Юлиуса Фучика, 51",
338,47873542,"улица Рашида Нежметдинова, 11к3",
339,47873542,"улица Рашида Нежметдинова, 11к3",
340,40249127,"улица Ярышлар, 2А",
341,40249127,"улица Ярышлар, 2А",
342,86387,"улица Азата Аббасова, 10",
343,86387,"улица Азата Аббасова, 10",
344,56449322,"улица Сабира Ахтямова, 1к1",
345,56449322,"улица Сабира Ахтямова, 1к1",
346,1868585,"улица Тансык, 13А",
347,1868585,"улица Тансык, 13А",
348,56553069,"Приволжская улица, 210с3",
349,56553069,"Приволжская улица, 210с3",
350,56446007,"улица Гавриила Державина, 3к4",
351,56446007,"улица Гавриила Державина, 3к4",
352,35863366,"Дубравная улица, 36",
353,35863366,"Дубравная улица, 36",
354,16904333,"улица Рауиса Гареева, 90к1",
355,16904333,"улица Рауиса Гареева, 90к1",
356,205788,"Авангардная улица, 171",
357,205788,"Авангардная улица, 171",
358,739384,"улица Маршала Чуйкова, 59А",
359,739384,"улица Маршала Чуйкова, 59А",
360,165212,"улица Баки Урманче, 8",
361,165212,"улица Баки Урманче, 8",
362,36546,"Даурская улица, 48А",
363,36546,"Даурская улица, 48А",
364,3543792,"улица Лукина, 52",
365,3543792,"улица Лукина, 52",
366,200777,"проспект Ямашева, 61",
367,200777,"проспект Ямашева, 61",
368,49081746,"улица Рауиса Гареева, 78А",
369,49081746,"улица Рауиса Гареева, 78А",
370,200657,"Петербургская улица, 65А",
371,200657,"Петербургская улица, 65А",
372,40651236,"улица Галеева, 8",
373,40651236,"улица Галеева, 8",
374,6400213,"улица Павлюхина, 110Г",
375,6400213,"улица Павлюхина, 110Г",
376,36145938,"проспект Альберта Камалеева, 32Б",
377,36145938,"проспект Альберта Камалеева, 32Б",
378,56529498,"улица Гавриила Державина, 4к1",
379,56529498,"улица Гавриила Державина, 4к1",
380,42240094,"улица Братьев Батталовых, 20А",
381,42240094,"улица Братьев Батталовых, 20А",
382,33099031,"Маршрутная улица, 17к1",
383,33099031,"Маршрутная улица, 17к1",
384,411029,"улица Азата Аббасова, 13",
385,411029,"улица Азата Аббасова, 13",
386,757338,"улица Татарстан, 11",
387,757338,"улица Татарстан, 11",
388,372492,"Меридианная улица, 30",
389,372492,"Меридианная улица, 30",
390,33103567,"улица Родины, 24Г",
391,33103567,"улица Родины, 24Г",
392,47885179,"улица Академика Губкина, 12Б",
393,47885179,"улица Академика Губкина, 12Б",
394,205965,"Зилантовская улица, 20",
395,205965,"Зилантовская улица, 20",
396,206113,"улица Качалова, 76",
397,206113,"улица Качалова, 76",
398,41537555,"улица Сибгата Хакима, 51",
399,41537555,"улица Сибгата Хакима, 51",
400,219080,"улица Аметьевская Магистраль, 16к1",
401,219080,"улица Аметьевская Магистраль, 16к1",
402,35288985,"Ново-Азинская улица, 43В",
403,35288985,"Ново-Азинская улица, 43В",
404,87905,"улица Достоевского, 57",
405,87905,"улица Достоевского, 57",
406,87905,"улица Достоевского, 57",
407,87905,"улица Достоевского, 57",
408,35904953,"Дубравная улица, 43А",
409,35904953,"Дубравная улица, 43А",
410,2055,"улица Рауиса Гареева, 4",
411,2055,"улица Рауиса Гареева, 4",
412,56554937,"улица Новоселья, 4",
413,56554937,"улица Новоселья, 4",
414,206133,"улица Ноксинский Спуск, 21",
415,206133,"улица Ноксинский Спуск, 21",
416,171067,"проспект Победы, 168",
417,171067,"проспект Победы, 168",
418,205850,"Ломжинская улица, 6",
419,205850,"Ломжинская улица, 6",
420,27218234,"улица Новаторов, 8Б",
421,27218234,"улица Новаторов, 8Б",
422,56424879,"улица Рихарда Зорге, 89",
423,56424879,"улица Рихарда Зорге, 89",
424,56449322,"улица Сабира Ахтямова, 1к1",
425,56449322,"улица Сабира Ахтямова, 1к1",
426,3417530,"улица Фатыха Амирхана, 47",
427,3417530,"улица Фатыха Амирхана, 47",
428,211558,"улица Адоратского, 1",
429,211558,"улица Адоратского, 1",
430,42240094,"улица Братьев Батталовых, 20А",
431,42240094,"улица Братьев Батталовых, 20А",
432,47069204,"улица Комиссара Габишева, 16",
433,47069204,"улица Комиссара Габишева, 16",
434,22944332,"улица Рауиса Гареева, 105",
435,22944332,"улица Рауиса Гареева, 105",
436,36238,"проспект Победы, 78",
437,36238,"проспект Победы, 78",
438,753871,"улица Салиха Батыева, 9",
439,753871,"улица Салиха Батыева, 9",
440,1454969,"улица Салиха Батыева, 21",
441,1454969,"улица Салиха Батыева, 21",
442,370728,"улица Ноксинский Спуск, 14А",
443,370728,"улица Ноксинский Спуск, 14А",
444,36818927,"улица Вишневского, 57А",
445,36818927,"улица Вишневского, 57А",
446,45547039,"Краснококшайская улица, 58",
447,45547039,"Краснококшайская улица, 58",
448,560706,"улица Амирхана Еники, 2/53",
449,560706,"улица Амирхана Еники, 2/53",
450,48134982,"улица Сибирский Тракт, 13",
451,48134982,"улица Сибирский Тракт, 13",
452,41649105,"улица Михаила Миля, 1",
453,41649105,"улица Михаила Миля, 1",
454,3526971,"улица Фатыха Амирхана, 35",
455,3526971,"улица Фатыха Амирхана, 35",
456,165045,"Роторная улица, 27Б",
457,165045,"Роторная улица, 27Б",
458,56433889,"улица Николая Ершова, 65Б/3",
459,56433889,"улица Николая Ершова, 65Б/3",
460,3587411,"улица Батыршина, 17",
461,3587411,"улица Батыршина, 17",
462,200657,"Петербургская улица, 65А",
463,200657,"Петербургская улица, 65А",
464,56550378,"улица Зур Урам, 1Кк2",
465,56550378,"улица Зур Урам, 1Кк2",
466,40428086,"улица Вишневского, 61А",
467,40428086,"улица Вишневского, 61А",
468,410828,"проспект Победы, 62к3",
469,410828,"проспект Победы, 62к3",
470,16559177,"улица Виктора Сажинова, 7/11",
471,16559177,"улица Виктора Сажинова, 7/11",
472,35853793,"улица Мира, 41",
473,35853793,"улица Мира, 41",
474,36156196,"Дубравная улица, 23",
475,36156196,"Дубравная улица, 23",
476,22630273,"проспект Альберта Камалеева, 32",
477,22630273,"проспект Альберта Камалеева, 32",
478,87905,"улица Достоевского, 57",
479,87905,"улица Достоевского, 57",
480,35850525,"Дубравная улица, 28А",
481,35850525,"Дубравная улица, 28А",
482,45733868,"Южно-Промышленная улица, 13",
483,45733868,"Южно-Промышленная улица, 13",
484,750908,"2-я Азинская улица, 1",
485,750908,"2-я Азинская улица, 1",
486,56433892,"улица Николая Ершова, 65Б/2",
487,56433892,"улица Николая Ершова, 65Б/2",
488,86387,"улица Азата Аббасова, 10",
489,86387,"улица Азата Аббасова, 10",
490,2022,"улица Чингиза Айтматова, 13",
491,2022,"улица Чингиза Айтматова, 13",
492,3405460,"улица Юлиуса Фучика, 24",
493,3405460,"улица Юлиуса Фучика, 24",
494,200835,"улица Рашида Вагапова, 3",
495,200835,"улица Рашида Вагапова, 3",
496,164947,"Комсомольская улица, 1",
497,164947,"Комсомольская улица, 1",
498,16939355,"Детский проезд, 1к1",
499,16939355,"Детский проезд, 1к1",
500,39741862,"Шоссейная улица, 57",
501,39741862,"Шоссейная улица, 57",
502,1764041,"проспект Победы, 72А",
503,1764041,"проспект Победы, 72А",
504,205898,"улица Фикрята Табеева, 5",
505,205898,"улица Фикрята Табеева, 5",
506,606836,"Чистопольская улица, 64",
507,606836,"Чистопольская улица, 64",
508,56551119,"улица Тыныч, 3",
509,56551119,"улица Тыныч, 3",
510,56467181,"улица Гавриила Державина, 4к2",
511,56467181,"улица Гавриила Державина, 4к2",
512,36175,"проспект Победы, 100",
513,36175,"проспект Победы, 100",
514,36238,"проспект Победы, 78",
515,36238,"проспект Победы, 78",
516,36748061,"улица Архитектора Гайнутдинова, 26к2",
517,36748061,"улица Архитектора Гайнутдинова, 26к2",
518,34799795,"Оренбургский тракт, 8Д",
519,34799795,"Оренбургский тракт, 8Д",
520,47137456,"улица Комиссара Габишева, 16А",
521,47137456,"улица Комиссара Габишева, 16А",
522,200657,"Петербургская улица, 65А",
523,200657,"Петербургская улица, 65А",
524,56449299,"проспект Победы, 139к1",
525,56449299,"проспект Победы, 139к1",
526,219080,"улица Аметьевская Магистраль, 16к1",
527,219080,"улица Аметьевская Магистраль, 16к1",
528,36175,"проспект Победы, 100",
529,36175,"проспект Победы, 100",
530,56548496,"улица Четаева, 14",
531,56548496,"улица Четаева, 14",
532,44403211,"улица Архитектора Гайнутдинова, 26к5",
533,44403211,"улица Архитектора Гайнутдинова, 26к5",
534,33756646,"Горьковское шоссе, 2А",
535,33756646,"Горьковское шоссе, 2А",
536,36458,Краснококшайская улица,
537,36458,Краснококшайская улица,
538,18784359,"улица Рауиса Гареева, 103",
539,18784359,"улица Рауиса Гареева, 103",
540,51494062,"улица Кул Гали, 29",
541,51494062,"улица Кул Гали, 29",
542,84221,улица Сибгата Хакима,
543,84221,улица Сибгата Хакима,
544,56470226,улица Хусаина Мавлютова,
545,56470226,улица Хусаина Мавлютова,
546,56503816,"улица Хусаина Мавлютова, 42",
547,56503816,"улица Хусаина Мавлютова, 42",
548,87905,"улица Достоевского, 57",
549,87905,"улица Достоевского, 57",
550,56502085,"Дубравная улица, 49",
551,56502085,"Дубравная улица, 49",
552,56532586,"улица Сибгата Хакима, 51",
553,56532586,"улица Сибгата Хакима, 51",
554,56462397,"проспект Победы, 139к3",
555,56462397,"проспект Победы, 139к3",
556,56469951,"улица Азата Аббасова, 13",
557,56469951,"улица Азата Аббасова, 13",
558,56553014,"Хороводная улица, 50",
559,56553014,"Хороводная улица, 50",
560,50966265,"Бухарская улица, 32к2",
561,50966265,"Бухарская улица, 32к2",
562,56508876,улица Новаторов,
563,56508876,улица Новаторов,
564,56424560,улица Фатыха Амирхана,
565,56424560,улица Фатыха Амирхана,
566,56466558,"проспект Универсиады, 10",
567,56466558,"проспект Универсиады, 10",
568,56466870,"улица Родины, 20",
569,56466870,"улица Родины, 20",
570,56467181,"улица Гавриила Державина, 4к2",
571,56467181,"улица Гавриила Державина, 4к2",
572,56465896,"улица Вишневского, 57А",
573,56465896,"улица Вишневского, 57А",
574,38213180,"улица Вишневского, 59Ак3",
575,38213180,"улица Вишневского, 59Ак3",
576,56466933,"улица Салиха Батыева, 17",
577,56466933,"улица Салиха Батыева, 17",
578,56462372,"улица Юлиуса Фучика, 52",
579,56462372,"улица Юлиуса Фучика, 52",
580,56510838,"улица Курашова, 20",
581,56510838,"улица Курашова, 20",
582,56512517,"проспект Универсиады, 12",
583,56512517,"проспект Универсиады, 12",
584,56465398,"улица Достоевского, 57",
585,56465398,"улица Достоевского, 57",
586,56429951,"улица Зур Урам, 1Кк5",
587,56429951,"улица Зур Урам, 1Кк5",
